,0,1,2,3,4,period_mean,period_std
1,37485.0,40932.0,38141.0,,,38852.666666666664,1830.3836574153884
2,37787.0,37408.0,34647.0,33088.0,,35732.5,2250.9228477819197
3,32603.0,32187.0,31918.0,30746.0,,31863.5,796.5109331745965
4,29910.0,29292.0,27656.0,25369.0,28356.0,28116.6,1761.8611750078383
5,26500.0,28367.0,30047.0,27130.0,,28011.0,1563.2566434636808
6,33793.0,30727.0,34111.0,39164.0,,34448.75,3494.2375777843154
7,39084.0,44042.0,42841.0,48510.0,44525.0,43800.4,3388.5330601899104
8,43943.0,40401.0,33914.0,39145.0,,39350.75,4155.011782975672
9,42895.0,43982.0,43483.0,39959.0,,42579.75,1802.7644281306789
10,38636.0,38583.0,38117.0,36999.0,36703.0,37807.6,902.3850619330974
11,37815.0,39095.0,38704.0,47032.0,,40661.5,4280.637063179576
12,56641.0,54597.0,56352.0,60650.0,32595.0,52167.0,11163.111954110287
1,31780.0,39047.0,41375.0,40782.0,,38246.0,4422.393544978406
2,38256.0,41803.0,44037.0,37663.0,,40439.75,3015.391779409988
3,36122.0,36343.0,35872.0,36002.0,,36084.75,200.15889521411066
4,35247.0,32571.0,36760.0,33876.0,32813.0,34253.4,1754.8459476546652
5,27661.0,23966.0,30887.0,28864.0,,27844.5,2908.1850583024
6,32287.0,33257.0,33824.0,30689.0,,32514.25,1372.3826907972864
7,31484.0,37254.0,37031.0,38217.0,38269.0,36451.0,2831.7917472865124
8,43080.0,34352.0,28082.0,32455.0,,34492.25,6298.4340051052895
9,33659.0,36550.0,35377.0,35555.0,32387.0,34705.6,1661.7270533995647
10,35426.0,35907.0,32835.0,30416.0,,33646.0,2541.0720834587382
11,27475.0,32864.0,33209.0,59552.0,,38275.0,14425.602309782424
12,64270.0,44151.0,44457.0,47339.0,25995.0,45242.4,13589.662497648718
1,26663.0,39021.0,41859.0,39237.0,,36695.0,6811.264199838382
2,37823.0,36634.0,36313.0,30862.0,,35408.0,3099.48608643433
3,27539.0,28603.0,28696.0,26373.0,25804.0,27403.0,1298.8500683296745
4,26994.0,27953.0,26847.0,23851.0,,26411.25,1775.8893311990662
5,25054.0,28193.0,30779.0,30985.0,,28752.75,2773.848154339623
6,24696.0,29009.0,31195.0,32994.0,42774.0,32133.6,6706.720308764933
7,45051.0,43453.0,40729.0,38617.0,,41962.5,2856.2396608127965
8,34069.0,33761.0,29776.0,36376.0,,33495.5,2740.5202060922666
9,35419.0,35601.0,35176.0,33899.0,31448.0,34308.6,1732.517907555359
10,35725.0,32178.0,30734.0,30626.0,,32315.75,2380.4165426804334
11,26612.0,31887.0,30344.0,31540.0,,30095.75,2414.717150447784
12,46840.0,56602.0,55792.0,57201.0,,54108.75,4880.108016222592
Season_mean,35731.22222222222,36404.805555555555,36164.36111111111,36907.514285714286,33788.09090909091,,
Season_std,8519.699736865683,7009.019152163648,6922.900945011739,9048.494559127203,6232.190264337979,,
